ANÁLISE PREDITIVA COM XGBOOST ITERATIVO (LÓGICA OTIMIZADA)

================================================================================

--- TABELA DE PERFORMANCE FINAL (NO CONJUNTO DE TESTE) ---

                MAE   RMSE      R2  N_Amostras
Nacional     0.9558 1.3464  0.3657        8703
Nordeste     1.3029 1.8034  0.3471        1266
Sudeste      0.8635 1.2632  0.3275        5027
Sul          1.1474 1.5642  0.2908        1422
Centro-Oeste 0.9726 1.3106  0.1927         488
Norte        1.1324 1.7038 -0.0456         500


================================================================================

--- HISTÓRICO DE PERFORMANCE (NO CONJUNTO DE VALIDAÇÃO) ---


--- Nacional ---

        MAE   RMSE     R2
iter                     
0    0.9433 1.3410 0.3659
1    0.9379 1.3375 0.3692
2    0.9395 1.3408 0.3661



--- Norte ---

        MAE   RMSE     R2
iter                     
0    0.9776 1.3975 0.3702
1    1.0050 1.3929 0.3744



--- Nordeste ---

        MAE   RMSE     R2
iter                     
0    1.2384 1.7435 0.3386
1    1.2769 1.8270 0.2737



--- Sudeste ---

        MAE   RMSE     R2
iter                     
0    0.9321 1.3454 0.3001
1    0.9368 1.3550 0.2900



--- Sul ---

        MAE   RMSE     R2
iter                     
0    0.9823 1.2812 0.2923
1    0.9894 1.3526 0.2112



--- Centro-Oeste ---

        MAE   RMSE     R2
iter                     
0    1.0236 1.3245 0.2836
1    1.0835 1.3786 0.2240



================================================================================

--- TOP FEATURES DO MELHOR MODELO FINAL ---


--- Nacional ---

sigla_uf_curso_RN                  0.014960
sigla_uf_curso_RS                  0.013770
faixa_etaria                       0.011785
sigla_uf_curso_PE                  0.010660
q58_2                              0.010540
sigla_uf_curso_BA                  0.009939
tp_categoria_administrativa_ies    0.009914
q10_E                              0.009410
q14_B                              0.008619
q17_B                              0.008298
q33_5                              0.007672
q9_F                               0.007397
q11_B                              0.007370
q36_2                              0.006302
q15_E                              0.006032
q66_8                              0.006014
q20_B                              0.005794
q36_5                              0.005666
q53_1                              0.004941
q34_2                              0.004894



--- Norte ---

regra_iter1_8       0.138065
q41_5               0.065269
q9_C                0.032727
q27_5               0.032468
q30_5               0.019482
q5_C                0.019134
q54_6               0.017739
q36_6               0.015516
q7_F                0.014933
q8_G                0.014856
q7_H                0.014535
q44_6               0.013359
q22_E               0.013031
in_capital_curso    0.012826
q27_8               0.012759
q60_3               0.012637
q56_5               0.012600
q47_6               0.010724
q12_E               0.010353
q27_6               0.008979



--- Nordeste ---

sigla_uf_curso_RN                  0.038908
q34_5                              0.026225
q46_5                              0.020965
faixa_etaria                       0.017941
q65_6                              0.017636
q66_2                              0.015484
q58_6                              0.013098
q20_K                              0.012377
q34_4                              0.011996
q10_E                              0.011533
q39_6                              0.010988
q54_4                              0.010795
q52_4                              0.010727
q31_5                              0.010583
q28_5                              0.010324
q27_5                              0.010218
q64_6                              0.010187
tp_categoria_administrativa_ies    0.009585
q4_C                               0.009479
q41_6                              0.009271



--- Sudeste ---

tp_categoria_administrativa_ies    0.016629
q19_F                              0.012752
faixa_etaria                       0.011292
q14_B                              0.011231
q10_A                              0.008906
q49_2                              0.008417
q19_B                              0.008186
q11_B                              0.007439
q8_B                               0.007429
q52_8                              0.006806
q50_3                              0.006715
q11_G                              0.006259
q62_1                              0.005879
q53_1                              0.005867
q27_7                              0.005774
q59_7                              0.005730
q49_6                              0.005716
q59_1                              0.005711
q19_A                              0.005662
q46_7                              0.005628



--- Sul ---

q66_8                0.026421
faixa_etaria         0.025984
q39_5                0.020524
q15_D                0.014987
q29_5                0.014263
in_capital_curso     0.013386
q29_4                0.012789
q33_4                0.012139
q25_B                0.011656
q67_2                0.011197
q46_6                0.010999
sigla_uf_curso_RS    0.010927
q46_5                0.010745
q20_K                0.010629
q52_2                0.010600
q65_5                0.009935
q51_5                0.009439
q56_4                0.009177
q65_8                0.009031
q46_8                0.008794



--- Centro-Oeste ---

q51_4                0.049907
sigla_uf_curso_MT    0.023839
q6_C                 0.022301
q62_6                0.020730
q35_3                0.019824
faixa_etaria         0.019079
q23_E                0.018053
q43_6                0.015864
q25_H                0.015089
q49_4                0.014990
q58_6                0.012585
q11_H                0.012579
q63_3                0.012385
q64_6                0.012158
q28_5                0.011761
q7_D                 0.011353
q59_4                0.011215
q39_3                0.010506
q31_6                0.010280
q14_B                0.010126

